Constituency,MP,Winning party,Electorate,Valid votes,Majority,Majority (%),Con,Lab,LD
Banbury,Victoria Prentis,Con,90116,62921,16813,27%,34148,17335,8831
Slough,Tan Dhesi,Lab,86818,51038,13640,27%,15781,29421,3357
Newbury,Laura Farris,Con,83414,59998,16047,27%,34431,4404,18384
Falkirk,John McNally,SNP,84472,55872,14948,27%,14403,6243,3990
Tunbridge Wells,Gregory Clark,Con,74823,54650,14645,27%,30119,8098,15474
Worthing West,Peter Bottomley,Con,78585,54648,14823,27%,30475,15652,6024
Beaconsfield,Joy Morrissey,Con,77720,57868,15712,27%,32477,5756,0
Yeovil,Marcus Fysh,Con,82468,59260,16181,27%,34588,3761,18407
York Central,Rachael Maskell,Lab,74899,49505,13545,27%,13767,27312,4149
Bermondsey and Old Southwark,Neil Coyle,Lab,93248,58615,16126,28%,9678,31723,15597
Bassetlaw,Brendan Clarke-Smith,Con,80024,50841,14013,28%,28078,14065,3332
Stafford,Theo Clarke,Con,72572,51149,14377,28%,29992,15615,3175
Beckenham,Bob Stewart,Con,68662,50555,14258,28%,27282,13024,8194
North Somerset,Liam Fox,Con,80194,62055,17536,28%,32801,15265,11051
Glenrothes,Peter Grant,SNP,65672,41546,11757,28%,6920,9477,2639
North Norfolk,Duncan Baker,Con,70729,50823,14395,28%,29792,3895,15397
"Cumbernauld, Kilsyth and Kirkintilloch East",Stuart C. McDonald,SNP,66079,45686,12976,28%,7380,11182,2966
Hemel Hempstead,Mike Penning,Con,74035,51271,14563,28%,28968,14405,6317
Stoke-On-Trent South,Jack Brereton,Con,64491,39604,11271,28%,24632,13361,1611
Halesowen and Rowley Regis,James Morris,Con,68300,42345,12074,29%,25607,13533,1738
North Cornwall,Scott Mann,Con,69935,51678,14752,29%,30671,4516,15919
Blaenau Gwent,Nick Smith,Lab,50739,30219,8647,29%,5749,14862,1285
Aylesbury,Rob Butler,Con,86665,60576,17373,29%,32737,15364,10081
North Antrim,Ian Paisley,DUP,77134,44051,12721,29%,0,0,0
Mid Sussex,Mims Davies,Con,85146,62762,18197,29%,33455,11218,15258
Nuneaton,Marcus Jones,Con,70226,45190,13144,29%,27390,14246,1862
Chesham and Amersham,Cheryl Gillan,Con,72542,55685,16223,29%,30850,7166,14627
"Plymouth, Moor View",Johnny Mercer,Con,69430,44239,12897,29%,26831,13934,2301
Cynon Valley,Beth Winter,Lab,51134,30236,8822,29%,6711,15533,949
North Swindon,Justin Tomlinson,Con,82441,55115,16171,29%,32584,16413,4408
Dundee West,Chris Law,SNP,64431,41579,12259,29%,5149,10096,2468
Dundee East,Stewart Hosie,SNP,66210,45277,13375,30%,10986,6045,3573
Somerton and Frome,David Warburton,Con,85866,64896,19213,30%,36230,8354,17017
St Austell and Newquay,Steve Double,Con,79930,55776,16526,30%,31273,14747,5861
Stourbridge,Suzanne Webb,Con,69891,45689,13571,30%,27534,13963,2523
Sefton Central,Bill Esterson,Lab,69760,50880,15122,30%,14132,29254,3386
Burton,Kate Griffiths,Con,75036,48738,14496,30%,29560,15064,2681
Elmet and Rothwell,Alec Shelbrooke,Con,80957,58225,17353,30%,33726,16373,5155
